YEAR,METEOROLOGICAL DROUGHT,HYDROLOGICAL DROUGHT,AGRICULTURAL DROUGHT,AREA UNDER CULTIVATION,YIELD
1985,-0.49,1.14,-0.31,27892,58240
1986,0.5,2.19,0.05,29489,61620
1987,1.93,-0.05,2.13,42921,130200
1988,-1.23,-0.15,-1.46,29267,71580
1989,0.42,-0.39,0.54,36136,111250
1990,0.91,0.02,0.53,36782,123490
1991,-0.96,-0.64,-1.06,21684,47200
1992,0.16,0.8,0.59,34268,108690
1993,0.82,0.18,1.14,40117,169090
1994,-0.85,0.52,-1.07,36744,87080
1995,-0.44,1.6,-0.59,17420,16840
1996,-0.58,1,0.08,28905,81890
1997,1.38,-0.32,1.35,36208,112240
1998,1.89,-0.13,2.25,37067,155040
1999,0.21,-1.07,-0.03,32555,131070
2000,-2.26,-0.16,-0.69,26014,73060
2001,1.08,-0.81,0.64,29388,92270
2002,-0.71,-0.81,-0.85,31607,86662
2003,-1.32,0.46,-1.32,24139,43976
2004,-0.76,1.72,-0.42,29713,86992
2005,0.59,0.75,0.68,30776,98482
